0,Clear Sky
1,Mostly Clear Sky
2,Partly Cloudy
3,Overcast
45,Fog
48,Freezing Fog
51,Light Drizzle
53,Moderate Drizzle
55,Heavy Drizzle
56,Dense Freezing Drizzle
57,Dense Freezing Drizzle
61,Light Rain
63,Moderate Rain
65,Heavy Rain
66,Light Freezing Rain
67,Heavy Freezing Rain
71,Light Snow
73,Moderate Snow
75,Heavy Snow
77,Snow Grains
80,Light Showers
81,Moderate Showers
82,Violent Showers
85,Light Snow Showers
86,Heavy Snow Showers
95,Thunderstorm
96,Thunderstorm with Slight Hail
99,Thunderstorm with Heavy Hail